RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0.023483366,78,0,0.013445958,5800.0,9,0,0,0,0.0
0.0,64,0,2354.0,,11,0,1,0,0.0
0.659890841,41,0,0.374094099,8692.0,11,0,2,0,4.0
0.9999999,50,0,0.315495208,6259.0,3,0,1,0,0.0
0.000833306,50,1,0.972055888,500.0,7,0,0,0,0.0
0.656950854,28,0,0.253537736,2543.0,5,0,0,0,0.0
0.171655223,53,0,0.242528608,9000.0,4,0,2,0,4.0
0.9999999,66,0,6026.0,,4,0,3,0,0.0
0.9999999,55,0,0.252071888,10738.0,4,0,2,0,0.0
0.0,41,0,3577.0,,11,0,2,0,0.0
0.210528675,33,0,1.549207998,3850.0,7,0,4,0,0.0
0.063523495,81,1,0.220496894,7083.0,9,0,1,0,0.0
0.093159644,67,0,1473.0,,4,0,1,0,0.0
0.268307395,80,0,2261.0,,9,0,1,0,0.0
0.808068388,39,0,0.328028825,6660.0,11,0,1,0,5.0
0.302015685,33,0,0.339076222,14916.0,8,0,2,0,1.0
0.035360381,39,0,0.564487103,5000.0,9,0,1,0,0.0
0.057233077,68,0,0.011225864,2226.0,6,0,0,0,0.0
0.07074434,52,0,0.503091821,8570.0,26,0,1,0,1.0
0.020659988,41,0,0.013071895,2600.0,9,0,0,0,0.0
